Repo   : tldr-pages/tldr
Período: histórico completo

Issues en período: 1788
PRs en período: 21596

Colaborador                Issues  I.Cerr    PRs  PR.Cerr  PR.Merge     SC
CairnThePerson                  0       0     13        0        13     26
jnmcfly                         0       0     13        0        13     26
raj-raut8502                    0       0     13        2        11     26
DEBADRIBASAK                    0       0     13        5         8     26
mady20                          0       0     13        0        13     26
NamanSoni18                     0       0     13        3        10     26
frxdude                         0       0     13        7         6     26
dikarel                        11      11      1        0         1     24
iTrooz                          1       1     11        1        10     24
dylanrees                       0       0     12        4         8     24
jedahan                         0       0     12        3         9     24
alimalek71                      0       0     12        1        11     24
quique                          0       0     12        0        12     24
adrienthebo                     0       0     12        2        10     24
ErlanRG                         0       0     12        0        12     24
korECM                          0       0     12        0        12     24
hasecilu                        0       0     12        0        12     24
Bucke200                        0       0     12        3         9     24
guidosti                        0       0     12        0        12     24
chitvs                          0       0     12        1        11     24
onesuper                        1       1     10        0        10     22
sethwoodworth                   1       1     10        2         8     22
amitech                         4       4      7        3         4     22
daylightbrightledlight          4       4      7        1         6     22
samuel-w                        1       1     10        1         9     22
seenukarthi                     1       1     10        0        10     22
rffontenelle                    1       1     10        0        10     22
Dahie                           0       0     11        1        10     22
Hoi15A                          0       0     11        0        11     22
norangebit                      0       0     11        0        11     22
WhileLoop                       0       0     11        0        11     22
Raizo62                         0       0     11        1        10     22
glapa-grossklag                 0       0     11        0        11     22
burlakvo                        0       0     11        0        11     22
dadav                           0       0     11        0        11     22
piraces                         0       0     11        0        11     22
ciph3rz                         0       0     11        5         6     22
raaynaldo                       0       0     11        1        10     22
vanvuvuong                      0       0     11        0        11     22
sapbotgit                       0       0     11        4         7     22
iamxorum                        1       0     10        0        10     21
YangVincent                     3       3      7        1         6     20
principis                       4       4      6        0         6     20
ivorysoap                       1       1      9        0         9     20
jakevossen5                     3       3      7        0         7     20
daniel-birket                   1       1      9        1         8     20
sanopy                          1       1      9        0         9     20
fwilhe2                         4       4      6        0         6     20
sohang3112                      1       1      9        0         9     20
martinblume                     1       1      9        0         9     20
danny-den                       2       2      8        0         8     20
AnshikaBisht1202                2       0     10        6         2     20
85pando                         0       0     10        0        10     20
mira01                          0       0     10        2         8     20
lch7167                         0       0     10        2         8     20
lukbukkit                       0       0     10        0        10     20
ffranchina                      0       0     10        0        10     20
mehmetmalli                     0       0     10        1         9     20
franzqat                        0       0     10        0        10     20
sanbabyfrancis                  0       0     10        1         9     20
ema                             0       0     10        0        10     20
deadpyxel                       0       0     10        0        10     20
hms5232                         0       0     10        1         9     20
Rolv-Apneseth                   0       0     10        0        10     20
Slotharmy                       0       0     10        0        10     20
giladAlboher                    0       0     10        3         7     20
dnielMantov                     0       0     10        2         8     20
elfiyka                         0       0     10        0        10     20
godwiniheuwa                    0       0     10        2         8     20
slash3b                         1       1      8        0         8     18
lamar-frankie                   3       3      6        4         2     18
gingerbeardman                  5       5      4        3         1     18
wisn                            7       7      2        0         2     18
AMATEURTOSS                     1       1      8        0         8     18
bharateshwq                     3       3      6        2         4     18
julian-st                       1       1      8        1         7     18
akoenig                         0       0      9        2         7     18
alx741                          0       0      9        0         9     18
pearcem0                        0       0      9        3         6     18
RH-sdavey                       0       0      9        0         9     18
russsaidwords                   0       0      9        0         9     18
dgsb                            0       0      9        0         9     18
jaypiamjariyakul                0       0      9        5         4     18
Agno94                          0       0      9        0         9     18
schwarmco                       0       0      9        0         9     18
byjujohn                        0       0      9        0         9     18
maegop                          0       0      9        2         7     18
S-Espinet                       0       0      9        4         5     18
shubham-kshetre                 0       0      9        2         7     18
Dev7g                           0       0      9        0         9     18
SamHou0                         0       0      9        0         9     18
kishore-144                     0       0      9        1         8     18
gabriel7419                     0       0      9        2         7     18
AttackThwarter                  0       0      9        0         9     18
varksvader                      1       0      8        1         7     17
spiritualhost                   1       0      8        1         7     17
ramwin                          1       1      7        1         6     16
tbarusseau                      2       2      6        0         6     16
Wesalius                        5       5      3        0         3     16
ryanolsonx                      1       1      7        1         6     16
shynekomaid                     2       2      6        2         4     16
github-actions                  2       0      7        0         7     16
ktz-dev                         1       1      7        5         2     16
denis-sokolov                   0       0      8        4         4     16
zlbabe                          0       0      8        1         7     16
idleberg                        0       0      8        0         8     16
HugueLiu                        0       0      8        2         6     16
nsuthison                       0       0      8        0         8     16
ImShakthi                       0       0      8        6         2     16
FilipaDurao                     0       0      8        0         8     16
qhyun2                          0       0      8        1         7     16
eshack94                        0       0      8        1         7     16
acunap                          0       0      8        0         8     16
gugacavalieri                   0       0      8        0         8     16
victorhck                       0       0      8        1         7     16
derNiklaas                      0       0      8        0         8     16
gabxyz                          0       0      8        0         8     16
shermanhui                      0       0      8        1         7     16
k0bld                           0       0      8        1         7     16
pg99696                         0       0      8        1         7     16
abhisheksrivastava177           0       0      8        2         6     16
TerribleCodes                   0       0      8        4         4     16
Kumamoto-Hamachi                0       0      8        0         8     16
FallenGameR                     0       0      8        0         8     16
punkestu                        0       0      8        1         7     16
pranav10780                     0       0      8        5         3     16
LSigala                         0       0      8        0         8     16
pradeept                        0       0      8        1         7     16
Juamez                          0       0      8        0         8     16
k-a-rthik                       0       0      8        2         6     16
dheena017                       0       0      8        7         1     16
2400060033                      0       0      8        8         0     16
FernDragonborn                  0       0      8        7         1     16
0x256e4                         0       0      8        0         8     16
Parth                           1       1      6        4         2     14
benboeck                        2       2      5        5         0     14
guilhermeleobas                 1       1      6        1         5     14
fejx                            1       1      6        1         5     14
0xf0xx0                         2       2      5        1         4     14
artemislena                     1       1      6        0         6     14
signed-log                      1       1      6        2         4     14
osbm                            5       5      2        0         2     14
Very-cool-guy                   2       2      5        0         5     14
eliotsykes                      0       0      7        1         6     14
chuanconggao                    0       0      7        2         5     14
LarryLuTW                       0       0      7        1         6     14
ewels                           0       0      7        0         7     14
alefir                          0       0      7        1         6     14
mister-ben                      0       0      7        0         7     14
bbigras                         0       0      7        1         6     14
BeLi4L                          0       0      7        0         7     14
koungkub                        0       0      7        3         4     14
mt-empty                        0       0      7        1         6     14
dmbaturin                       0       0      7        0         7     14
TheLastGimbus                   0       0      7        0         7     14
gsobell                         0       0      7        2         5     14
Gitleptune                      0       0      7        0         7     14
Fabiokleis                      0       0      7        1         6     14
AbdeltwabMF                     0       0      7        1         6     14
HTsuyoshi                       0       0      7        0         7     14
werewolf-65                     0       0      7        2         5     14
mere-teresa                     0       0      7        0         7     14
superatomic                     0       0      7        0         7     14
andreia                         0       0      7        0         7     14
nikhilsamant                    0       0      7        2         5     14
skyjx                           0       0      7        1         6     14
aditya-shrivastavv              0       0      7        0         7     14
pranjalirathi                   0       0      7        0         7     14
siddiq0611                      0       0      7        1         6     14
danielsagie                     0       0      7        6         1     14
jackiesogi                      0       0      7        0         7     14
lloyd-dada                      0       0      7        4         3     14
renner0e                        0       0      7        0         7     14
koknese                         0       0      7        3         4     14
tranzystorekk                   0       0      7        0         7     14
depgod                          0       0      7        2         5     14
Harrisonust                     0       0      7        1         6     14
almightyDavid                   0       0      7        1         6     14
terraox                         0       0      7        7         0     14
fabioperrella                   0       0      7        0         7     14
kekwlboy12469                   0       0      7        1         6     14
rinas323                        0       0      7        2         5     14
shantanu-pai                    0       0      7        1         6     14
runningonsideprojects           0       0      7        1         6     14
Sreyasiv                        0       0      7        3         4     14
GajjelaVasudev                  0       0      7        4         3     14
EmiFree                         0       0      7        5         2     14
vltamanec                       0       0      7        0         7     14
Sencyy                          0       0      7        0         6     13
Leandros                        3       3      3        0         3     12
pepa65                          4       4      2        1         1     12
gonejack                        2       2      4        3         1     12
thiswind                        1       1      5        4         1     12
sawshep                         1       1      5        1         4     12
phrohdoh                        4       4      2        0         2     12
d33tah                          1       1      5        1         4     12
niklasmohrin                    4       4      2        0         2     12
jtmlis                          1       1      5        1         4     12
uhthomas                        6       6      0        0         0     12
lakhininenina                   1       1      5        0         5     12
fallenpixel                     2       2      4        1         3     12
Torfab                          1       1      5        1         4     12
mansoorbarri                    4       4      2        1         1     12
okineadev                       1       1      5        3         2     12
AndreiCherniaev                 2       2      4        1         3     12
britter                         0       0      6        0         6     12
reactorcoremeltdown             0       0      6        0         6     12
fluxw42                         0       0      6        1         5     12
dreampiggy                      0       0      6        4         2     12
joelhy                          0       0      6        1         5     12
jonlabelle                      0       0      6        1         5     12
telmotrooper                    0       0      6        4         2     12
melgu                           0       0      6        0         6     12
alex0112                        0       0      6        3         3     12
dpinela                         0       0      6        0         6     12
nolasconapoleao                 0       0      6        2         4     12
Kreyren                         0       0      6        3         3     12
rwxd                            0       0      6        1         5     12
354651432                       0       0      6        4         2     12
bergentroll                     0       0      6        0         6     12
andrealmeid                     0       0      6        0         6     12
JoeStone13                      0       0      6        0         6     12
ferrvic                         0       0      6        1         5     12
mul14                           0       0      6        0         6     12
mtausig                         0       0      6        1         5     12
thomaswuensche                  0       0      6        1         5     12
goznalo-git                     0       0      6        0         6     12
tomadojuice                     0       0      6        3         3     12
nav1s                           0       0      6        0         6     12
lemeleti                        0       0      6        2         4     12
gilmoskowitz                    0       0      6        1         5     12
VitorCairolli                   0       0      6        4         2     12
copolycube                      0       0      6        0         6     12
rubenandre                      0       0      6        0         6     12
Paradact                        0       0      6        0         6     12
spicyyboi                       0       0      6        0         6     12
andyli                          0       0      6        0         6     12
gotlougit                       0       0      6        1         5     12
ousugo                          0       0      6        0         6     12
Seifer23                        0       0      6        1         5     12
luiseduardobraschi              0       0      6        0         6     12
BuonOmo                         0       0      6        0         6     12
frostg-012                      0       0      6        2         4     12
pedroVelosoFernandes            0       0      6        2         4     12
SamueleFacenda                  0       0      6        0         6     12
marciska                        0       0      6        1         5     12
MrSid007                        0       0      6        6         0     12
rafay99-epic                    0       0      6        1         5     12
tellmeY18                       0       0      6        5         1     12
pranavupadhyay123               0       0      6        2         4     12
rexept                          0       0      6        0         6     12
Abhishek-1804                   0       0      6        0         6     12
angadsgrover                    0       0      6        0         6     12
therealhappy                    0       0      6        0         6     12
vp007-dev                       0       0      6        2         4     12
SaiTeja-002                     0       0      6        0         6     12
soasrez                         0       0      6        0         6     12
leulmes                         0       0      6        5         1     12
Umair-khurshid                  0       0      6        2         4     12
binertia                        0       0      6        2         4     12
Prithviraj03                    0       0      6        2         4     12
surajdm123                      0       0      6        3         3     12
fraluc06                        0       0      6        1         5     12
harryfrzz                       0       0      6        2         4     12
severinil                       0       0      6        0         6     12
mana-byte                       0       0      6        0         6     12
JordiMartinezPl                 0       0      6        0         6     12
juliosuas                       0       0      6        6         0     12
zakky8                          0       0      6        0         6     12
david2000hun1                   0       0      7        1         4     12
l46983284-cpu                   0       0      6        4         2     12
danielzgtg                      0       0      6        1         4     11
rharana                         0       0      7        0         4     11
CodingAlphaWolf                 0       0      7        3         1     11
lagelalegal                     2       2      3        0         3     10
rselwyn                         1       1      4        1         3     10
mflint                          3       3      2        0         2     10
matkoniecz                      2       2      3        0         3     10
ldorigo                         3       3      2        0         2     10
pqiaohaoq                       1       1      4        1         3     10
rbuchberger                     1       1      4        1         3     10
jn64                            1       1      4        0         4     10
older-pack                      4       4      1        0         1     10
Felipe-noob                     1       1      4        1         3     10
bittner                         2       2      3        0         3     10
peterjpxie                      2       2      3        0         3     10
gvshemanth30034                 2       2      3        2         1     10
jrziviani                       0       0      5        4         1     10
