Repo   : tldr-pages/tldr
Período: histórico completo

Issues en período: 1788
PRs en período: 21596

Colaborador                Issues  I.Cerr    PRs  PR.Cerr  PR.Merge     SC
npv12                           1       1      2        0         2      6
WangLinSongss                   1       1      2        1         1      6
Mehul2044                       2       2      1        1         0      6
Smart-SangGe                    2       2      1        0         1      6
CouldBeThis                     1       1      2        0         2      6
oakrotka                        1       1      2        0         2      6
Egg12138                        1       1      2        1         1      6
andrewboerema                   0       0      3        2         1      6
shrayasr                        0       0      3        1         2      6
bripkens                        0       0      3        0         3      6
hugovk                          0       0      3        0         3      6
fordhurley                      0       0      3        0         3      6
CatTail                         0       0      3        2         1      6
jlinder                         0       0      3        0         3      6
egilkh                          0       0      3        0         3      6
rajivrnair                      0       0      3        1         2      6
mario-deluna                    0       0      3        1         2      6
shadowfax92                     0       0      3        0         3      6
vpilot                          0       0      3        1         2      6
tribela                         0       0      3        0         3      6
eddieantonio                    0       0      3        0         3      6
pindexis                        0       0      3        0         3      6
kmoe                            0       0      3        0         3      6
mumumu                          0       0      3        1         2      6
antoniom13                      0       0      3        1         2      6
Ethiraric                       0       0      3        1         2      6
muteness                        0       0      3        1         2      6
aicioara                        0       0      3        1         2      6
bharadwaj-raju                  0       0      3        1         2      6
maxbeier                        0       0      3        0         3      6
yasharmaster                    0       0      3        1         2      6
gldraphael                      0       0      3        0         3      6
Krutonium                       0       0      3        0         3      6
wych42                          0       0      3        0         3      6
awesmubarak                     0       0      3        1         2      6
TheOtherUnknown                 0       0      3        0         3      6
Nagiza                          0       0      3        0         3      6
andrewloux                      0       0      3        2         1      6
martyca                         0       0      3        1         2      6
hvindin                         0       0      3        1         2      6
aydwi                           0       0      3        0         3      6
andrewda                        0       0      3        0         3      6
frazjp65                        0       0      3        2         1      6
ageekymonk                      0       0      3        2         1      6
heimann                         0       0      3        0         3      6
f4ww4z                          0       0      3        0         3      6
chang                           0       0      3        1         2      6
tzhenghao                       0       0      3        1         2      6
serragnoli                      0       0      3        0         3      6
alufers                         0       0      3        0         3      6
shashank2806                    0       0      3        0         3      6
monsieurlo                      0       0      3        0         3      6
nmaggioni                       0       0      3        0         3      6
nutellinoit                     0       0      3        1         2      6
imliam                          0       0      3        0         3      6
npalladium                      0       0      3        1         2      6
hbostan                         0       0      3        2         1      6
Anmol-Singh-Jaggi               0       0      3        0         3      6
cassvs                          0       0      3        2         1      6
msdlisper                       0       0      3        2         1      6
marcan2020                      0       0      3        0         3      6
nevdelap                        0       0      3        2         1      6
SoffiMeower                     0       0      3        2         1      6
mtonsmann                       0       0      3        2         1      6
pengux                          0       0      3        0         3      6
0verk1ll                        0       0      3        0         3      6
Alone2                          0       0      3        1         2      6
scttrgd                         0       0      3        0         3      6
erikweibust                     0       0      3        1         2      6
aayushdhiman                    0       0      3        3         0      6
ninearif                        0       0      3        1         2      6
Scuilion                        0       0      3        1         2      6
JJByun                          0       0      3        0         3      6
redreceipt                      0       0      3        1         2      6
antoniobusrod                   0       0      3        0         3      6
MikeLindner                     0       0      3        2         1      6
caiobep                         0       0      3        0         3      6
michaeldel                      0       0      3        0         3      6
BreD1810                        0       0      3        1         2      6
temuraru                        0       0      3        1         2      6
kellyjonbrazil                  0       0      3        0         3      6
NashMiao                        0       0      3        1         2      6
readparse                       0       0      3        2         1      6
anaynayak                       0       0      3        0         3      6
Amorymeltzer                    0       0      3        1         2      6
a-r-1                           0       0      3        3         0      6
Abrynos                         0       0      3        0         3      6
brunoeduardodev                 0       0      3        1         2      6
tcarecolin                      0       0      3        0         3      6
govind-shenoy                   0       0      3        0         3      6
byt3h3ad                        0       0      3        0         3      6
BhaskarDutta2209                0       0      3        2         1      6
abeltay                         0       0      3        0         3      6
sebastientinel                  0       0      3        1         2      6
honarmand-io                    0       0      3        1         2      6
MarkusG                         0       0      3        0         3      6
moisesnandres                   0       0      3        0         3      6
nuno-agostinho                  0       0      3        0         3      6
stevenpitts                     0       0      3        0         3      6
xiaolong-666                    0       0      3        0         3      6
mkcn                            0       0      3        1         2      6
pedrokpp                        0       0      3        1         2      6
lyctw                           0       0      3        3         0      6
fonsdant                        0       0      3        1         2      6
jzlpr                           0       0      3        1         2      6
flyingcakes85                   0       0      3        0         3      6
mmahmoudian                     0       0      3        0         3      6
444B                            0       0      3        1         2      6
dwdh                            0       0      3        1         2      6
anderly011                      0       0      3        2         1      6
Shinyzenith                     0       0      3        0         3      6
9tykeshav                       0       0      3        0         3      6
themayankjha                    0       0      3        0         3      6
wireva                          0       0      3        0         3      6
tanrax                          0       0      3        0         3      6
salem84                         0       0      3        0         3      6
JeroenKnoops                    0       0      3        0         3      6
stefanyramos                    0       0      3        0         3      6
srpsco                          0       0      3        1         2      6
vinhtq115                       0       0      3        0         3      6
jinsihou19                      0       0      3        1         2      6
MDecker-MobileComputing         0       0      3        0         3      6
ckorobov                        0       0      3        0         3      6
andrecoco                       0       0      3        0         3      6
adamatan                        0       0      3        2         1      6
aminya                          0       0      3        0         3      6
baodrate                        0       0      3        0         3      6
hexagonrecursion                0       0      3        0         3      6
Hephaestus14089                 0       0      3        1         2      6
jreyes33                        0       0      3        0         3      6
genivia-inc                     0       0      3        2         1      6
zein3                           0       0      3        0         3      6
robellegate                     0       0      3        1         2      6
pbsds                           0       0      3        0         3      6
Throone                         0       0      3        2         1      6
OnkarRuikar                     0       0      3        0         3      6
barweiss45                      0       0      3        0         3      6
Paskalouis                      0       0      3        0         3      6
adityarjadhav                   0       0      3        0         3      6
barbaraips                      0       0      3        0         3      6
TcPirate1                       0       0      3        0         3      6
saw-jan                         0       0      3        0         3      6
nwnt                            0       0      3        0         3      6
unickorn                        0       0      3        0         3      6
kerlos                          0       0      3        0         3      6
LordUbuntu                      0       0      3        0         3      6
felixstenian                    0       0      3        1         2      6
brettkrueger                    0       0      3        0         3      6
cwestwater                      0       0      3        0         3      6
GustavoHiguera                  0       0      3        0         3      6
bryanmg                         0       0      3        2         1      6
qk7b                            0       0      3        0         3      6
Gurenax                         0       0      3        1         2      6
IvyCap                          0       0      3        0         3      6
rail01                          0       0      3        0         3      6
CyrusYip                        0       0      3        0         3      6
sakibjunaed                     0       0      3        2         1      6
fnfontana                       0       0      3        0         3      6
Jaimepas77                      0       0      3        0         3      6
janoka                          0       0      3        3         0      6
jwlodek                         0       0      3        0         3      6
Stianlyng                       0       0      3        2         1      6
sannae                          0       0      3        1         2      6
fishsticksnom                   0       0      3        1         2      6
lucapollani                     0       0      3        0         3      6
dch82                           0       0      3        1         2      6
varadrane7                      0       0      3        0         3      6
shreenidhi11                    0       0      3        2         1      6
anazworth                       0       0      3        0         3      6
RemoteRabbit                    0       0      3        1         2      6
fadharpra                       0       0      3        0         3      6
pranav-kale-01                  0       0      3        0         3      6
prerna120                       0       0      3        0         3      6
eogns47                         0       0      3        1         2      6
HVbajoria                       0       0      3        0         3      6
lsf1re                          0       0      3        0         3      6
Druva-D                         0       0      3        0         3      6
MohammadRostamiorg              0       0      3        1         2      6
AStmav                          0       0      3        2         1      6
teboarte                        0       0      3        0         3      6
kabir1439                       0       0      3        2         1      6
TechnoFlask                     0       0      3        1         2      6
martinohanlon                   0       0      3        0         3      6
Xartoks                         0       0      3        1         2      6
VinnyVanGogh                    0       0      3        2         1      6
KrishDave1                      0       0      3        0         3      6
rafaelgpaves                    0       0      3        0         3      6
NOLED-CODE                      0       0      3        2         1      6
fortii2                         0       0      3        1         2      6
P2Tree                          0       0      3        0         3      6
sudoAlphaX                      0       0      3        0         3      6
gsspdev                         0       0      3        0         3      6
kawana77b                       0       0      3        0         3      6
tpaau                           0       0      3        1         2      6
AsbDaryaee                      0       0      3        1         2      6
kieranknowles1                  0       0      3        0         3      6
roundedrectangle                0       0      3        0         3      6
xywml                           0       0      3        3         0      6
unixkiwi                        0       0      3        0         3      6
sighrelief                      0       0      3        1         2      6
Akasan                          0       0      3        0         3      6
kira134679                      0       0      3        0         3      6
AbhisekLimbu                    0       0      3        0         3      6
independentlearners             0       0      3        3         0      6
lexionq                         0       0      3        1         2      6
anand-gautam                    0       0      3        2         1      6
JorgeNZenun                     0       0      3        2         1      6
FlowareR-E                      0       0      3        1         2      6
alerameli-E                     0       0      3        1         2      6
DNEGEL3125                      0       0      3        0         3      6
anhkhoakz                       0       0      3        1         2      6
ByteKatana                      0       0      3        0         3      6
swastim01                       0       0      3        0         3      6
TasfiqulTapu                    0       0      3        0         3      6
ved1beta                        0       0      3        0         3      6
07CalC                          0       0      3        2         1      6
naiame-neltheri                 0       0      3        3         0      6
shanegeorge7                    0       0      3        1         2      6
duvvuvenkataramana              0       0      3        3         0      6
tysoncung                       0       0      3        2         1      6
sharvandeep                     0       0      3        3         0      6
parthiv2K07                     0       0      3        3         0      6
prasannaas138-alt               0       0      3        3         0      6
Nihhaar0002                     0       0      3        3         0      6
gowtham1412-p                   0       0      3        3         0      6
musicnark                       0       0      3        2         1      6
patrick204nqh                   0       0      3        1         2      6
osmium1                         0       0      3        0         3      6
ishansingh07399-cell            0       0      3        2         1      6
NikKliaf                        0       0      3        1         2      6
DEM-YU                          0       0      3        1         2      6
curry798                        0       0      3        2         1      6
lem0nmel0n                      0       0      3        2         1      6
SiddhiPandey08                  0       0      3        3         0      6
redelfive0                      0       0      3        0         3      6
AlexandrosPal                   0       0      3        0         3      6
sedat4ras                       0       0      3        3         0      6
Afra0704                        0       0      3        0         3      6
YifanRuan                       0       0      3        1         2      6
nil957                          0       0      3        3         0      6
OToussaint                      0       0      3        0         3      6
ysoftman                        0       0      3        1         2      6
yokesh-kumar-M                  0       0      3        3         0      6
sarah3bb                        0       0      3        2         1      6
royy92                          0       0      3        3         0      6
sarahgh8                        0       0      3        0         3      6
juannbasualdo                   0       0      3        3         0      6
KLCplus                         0       0      3        3         0      6
wjs-tech                        0       0      3        3         0      6
AzazelSensei                    0       0      4        2         0      6
aparatext                       1       0      2        0         2      5
hiAndrewQuinn                   1       0      2        2         0      5
Ti-03                           0       0      3        0         2      5
diegoperini                     2       2      0        0         0      4
xfalcox                         1       1      1        0         1      4
phillips1012                    1       1      1        0         1      4
yegle                           1       1      1        1         0      4
HenriTEL                        2       2      0        0         0      4
zeke                            1       1      1        0         1      4
zQueal                          1       1      1        0         1      4
Permafacture                    2       2      0        0         0      4
pshirshov                       1       1      1        0         1      4
hidroh                          1       1      1        0         1      4
sdvdxl                          2       2      0        0         0      4
ASBaumgarten                    2       2      0        0         0      4
abhijit-paul                    1       1      1        0         1      4
edouard-lopez                   1       1      1        1         0      4
FreifunkerEZ                    2       2      0        0         0      4
jasonxia23                      1       1      1        0         1      4
josephernest                    2       2      0        0         0      4
JacobCallahan                   1       1      1        0         1      4
dospunk                         1       1      1        0         1      4
vitalkanev                      1       1      1        0         1      4
TheYahya                        1       1      1        0         1      4
willthemoor                     1       1      1        0         1      4
macleginn                       1       1      1        0         1      4
ptzz                            1       1      1        0         1      4
chablinOne                      2       2      0        0         0      4
Tadaboody                       1       1      1        1         0      4
sjackman                        1       1      1        0         1      4
shmink                          1       1      1        0         1      4
927589452                       1       1      1        0         1      4
xild                            1       1      1        0         1      4
Ameausoone                      1       1      1        0         1      4
gyli                            1       1      1        0         1      4
Keating950                      1       1      1        1         0      4
jonatasleon                     1       1      1        0         1      4
GermanS                         1       1      1        0         1      4
hrai                            1       1      1        0         1      4
bianchidotdev                   1       1      1        0         1      4
sljedeer                        1       1      1        0         1      4
diohabara                       1       1      1        0         1      4
dreua                           1       1      1        0         1      4
metov                           1       1      1        0         1      4
ThisNekoGuy                     2       2      0        0         0      4
mortenfyhn                      1       1      1        0         1      4
qpwo                            1       1      1        0         1      4
gurditsbedi                     1       1      1        0         1      4
nyameteor                       1       1      1        0         1      4
ajsirota                        1       1      1        0         1      4
alirezaghey                     1       1      1        0         1      4
itsAftabAlam                    1       1      1        0         1      4
ttv20                           1       1      1        0         1      4
IniasP                          1       1      1        0         1      4
AngelODeath                     1       1      1        0         1      4
sarnobat                        1       1      1        0         1      4
JohannesPertl                   1       1      1        0         1      4
kassane                         2       2      0        0         0      4
PackmanDude                     1       1      1        0         1      4
k0mmsussert0d                   1       1      1        0         1      4
NimrodRak                       1       1      1        0         1      4
Saevyn                          1       1      1        0         1      4
CrimsonTome                     1       1      1        0         1      4
mrnossiom                       2       2      0        0         0      4
aaryan200                       1       1      1        0         1      4
Oglo12                          1       1      1        0         1      4
PetrusKiendys                   1       1      1        0         1      4
paprocki-r                      1       1      1        1         0      4
abhiyandhakal                   1       1      1        0         1      4
adamazing                       1       1      1        0         1      4
Clumsy-Coder                    1       1      1        0         1      4
mtruj013                        1       1      1        0         1      4
cthed2                          1       1      1        1         0      4
mooreye                         2       2      0        0         0      4
Piyush-linux                    1       1      1        0         1      4
pandyah5                        1       1      1        0         1      4
harshithansraj                  1       1      1        0         1      4
diraneyya                       1       1      1        0         1      4
stanleyogada                    1       1      1        0         1      4
plshelpidkwhatimdoing           1       1      1        1         0      4
RushilJalal                     2       2      0        0         0      4
zmajeed                         1       1      1        1         0      4
rikuyaosawa                     1       1      1        0         1      4
dwalex                          1       1      1        0         1      4
ve-nt                           1       1      1        0         1      4
isFakeAccount                   1       1      1        0         1      4
lifeadventurer                  2       2      0        0         0      4
TomLucidor                      2       2      0        0         0      4
ishaa05                         1       1      1        0         1      4
Dev-GA-Arjun                    1       1      1        0         1      4
Gabbar-v7                       1       1      1        0         1      4
Moe-Salim91156                  1       1      1        0         1      4
tshofmann                       1       1      1        0         1      4
GeoMinesGold                    1       1      1        0         1      4
meonkeys                        1       1      1        0         1      4
dotWee                          1       1      1        1         0      4
rfmoz                           1       1      1        0         1      4
Prodeguerriero                  1       1      1        0         1      4
kud                             0       0      2        0         2      4
Delapouite                      0       0      2        0         2      4
N07070                          0       0      2        1         1      4
chirag64                        0       0      2        0         2      4
nguyenchr                       0       0      2        0         2      4
Florent2                        0       0      2        1         1      4
rspeicher                       0       0      2        0         2      4
EvanHahn                        0       0      2        0         2      4
negamorgan                      0       0      2        0         2      4
TechplexEngineer                0       0      2        0         2      4
cnu                             0       0      2        0         2      4
adius                           0       0      2        0         2      4
sapereau83                      0       0      2        1         1      4
hhirsch                         0       0      2        1         1      4
appleboy                        0       0      2        0         2      4
cdminigun                       0       0      2        0         2      4
zhengqm                         0       0      2        0         2      4
joearcher                       0       0      2        1         1      4
sonph                           0       0      2        0         2      4
porras                          0       0      2        1         1      4
jdecool                         0       0      2        0         2      4
nevsan                          0       0      2        1         1      4
markleetw                       0       0      2        1         1      4
gautamkrishnar                  0       0      2        0         2      4
WALL-E                          0       0      2        0         2      4
AMeng                           0       0      2        1         1      4
AloisMahdal                     0       0      2        1         1      4
andyxning                       0       0      2        0         2      4
bobstrecansky                   0       0      2        0         2      4
brpaz                           0       0      2        1         1      4
lmount                          0       0      2        0         2      4
rozuur                          0       0      2        1         1      4
koskokos2                       0       0      2        1         1      4
jezeniel                        0       0      2        0         2      4
severen                         0       0      2        0         2      4
robyoung                        0       0      2        0         2      4
subcrew                         0       0      2        0         2      4
solygen                         0       0      2        0         2      4
thalesmello                     0       0      2        0         2      4
rcorrie                         0       0      2        1         1      4
alfredbez                       0       0      2        0         2      4
danielcompton                   0       0      2        1         1      4
kidpixo                         0       0      2        1         1      4
gamebusterz                     0       0      2        1         1      4
josa42                          0       0      2        1         1      4
mueller-ma                      0       0      2        1         1      4
TheLastZombie                   0       0      2        0         2      4
duesee                          0       0      2        1         1      4
spennydl                        0       0      2        1         1      4
psibi                           0       0      2        0         2      4
morrme                          0       0      2        0         2      4
damianpeterson                  0       0      2        0         2      4
vivekkrish                      0       0      2        0         2      4
fangyi-zhou                     0       0      2        0         2      4
gttotev                         0       0      2        0         2      4
luk3yx                          0       0      2        0         2      4
jangidkrishna                   0       0      2        1         1      4
skymfc                          0       0      2        2         0      4
CaptainYarb                     0       0      2        1         1      4
alexpreynolds                   0       0      2        2         0      4
cameronjphillips                0       0      2        1         1      4
jitakirin                       0       0      2        0         2      4
einnjo                          0       0      2        0         2      4
yanuehara                       0       0      2        0         2      4
OrBaruk                         0       0      2        0         2      4
7anshuai                        0       0      2        0         2      4
raylas                          0       0      2        0         2      4
mathomp4                        0       0      2        0         2      4
pirafrank                       0       0      2        1         1      4
bavaga                          0       0      2        1         1      4
nalinbhardwaj                   0       0      2        0         2      4
neilhwatson                     0       0      2        2         0      4
hohonuuli                       0       0      2        1         1      4
ad-m                            0       0      2        0         2      4
marekchowaniok                  0       0      2        1         1      4
hdhauk                          0       0      2        0         2      4
n4nagappan                      0       0      2        1         1      4
fdesjardins                     0       0      2        0         2      4
ycmjason                        0       0      2        1         1      4
jozsefsallai                    0       0      2        2         0      4
JibranKalia                     0       0      2        0         2      4
Sinan81                         0       0      2        1         1      4
cfsanderson                     0       0      2        0         2      4
rowanfreeman                    0       0      2        0         2      4
akotzias                        0       0      2        1         1      4
mattbangert                     0       0      2        0         2      4
austintoddj                     0       0      2        0         2      4
dcervenkov                      0       0      2        0         2      4
Samox                           0       0      2        2         0      4
tulik                           0       0      2        2         0      4
thezeroalpha                    0       0      2        0         2      4
justiceenunciate                0       0      2        0         2      4
qoomon                          0       0      2        0         2      4
udincer                         0       0      2        1         1      4
borekb                          0       0      2        0         2      4
isu17                           0       0      2        1         1      4
enadeau                         0       0      2        0         2      4
josefglatz                      0       0      2        2         0      4
Conaclos                        0       0      2        0         2      4
aa-tan                          0       0      2        0         2      4
vidhig                          0       0      2        0         2      4
FlaviaBastos                    0       0      2        0         2      4
matusf                          0       0      2        0         2      4
m-messiah                       0       0      2        0         2      4
NightMachinery                  0       0      2        1         1      4
kutr                            0       0      2        2         0      4
nithyanatarajan                 0       0      2        0         2      4
RosalesJ                        0       0      2        0         2      4
ronniegane                      0       0      2        0         2      4
kseistrup                       0       0      2        2         0      4
Darkdoughnut                    0       0      2        0         2      4
Jipok                           0       0      2        1         1      4
mikesprague                     0       0      2        0         2      4
timawesomeness                  0       0      2        2         0      4
baruchiro                       0       0      2        1         1      4
perfecto25                      0       0      2        1         1      4
laeccan                         0       0      2        0         2      4
grastello                       0       0      2        0         2      4
NargiT                          0       0      2        0         2      4
fjy202                          0       0      2        2         0      4
tmoon8730                       0       0      2        0         2      4
pr0xy-t                         0       0      2        0         2      4
starccy                         0       0      2        0         2      4
liumingc                        0       0      2        1         1      4
hervenivon                      0       0      2        0         2      4
abitrolly                       0       0      2        1         1      4
7vikpeculiar                    0       0      2        1         1      4
newtant                         0       0      2        0         2      4
abacao                          0       0      2        0         2      4
fabiobianchiwebdev              0       0      2        0         2      4
madacol                         0       0      2        0         2      4
mtpiercey                       0       0      2        0         2      4
darmalovan                      0       0      2        0         2      4
jshcmpbll                       0       0      2        1         1      4
circld                          0       0      2        0         2      4
conao3                          0       0      2        1         1      4
theryangeary                    0       0      2        1         1      4
mxmxyz                          0       0      2        0         2      4
ekstrah                         0       0      2        2         0      4
adrian5                         0       0      2        0         2      4
johncurcio                      0       0      2        0         2      4
grem11n                         0       0      2        0         2      4
seanjpmccarron                  0       0      2        2         0      4
glantonb                        0       0      2        0         2      4
lmazardo                        0       0      2        0         2      4
ohadeytan                       0       0      2        0         2      4
ursbraem                        0       0      2        1         1      4
monst12                         0       0      2        0         2      4
anirudhts                       0       0      2        2         0      4
stsourlidakis                   0       0      2        1         1      4
morevi                          0       0      2        0         2      4
Jfeatherstone                   0       0      2        1         1      4
kaykayehnn                      0       0      2        0         2      4
dmakth                          0       0      2        0         2      4
DanielKim1                      0       0      2        0         2      4
sidahmed-malaoui                0       0      2        0         2      4
ClarkAllen1556                  0       0      2        2         0      4
KopfKrieg                       0       0      2        0         2      4
SimonBarendse                   0       0      2        0         2      4
laura-dietz                     0       0      2        1         1      4
warpigsir                       0       0      2        1         1      4
lzap                            0       0      2        0         2      4
raghu1kalluri                   0       0      2        0         2      4
BosEriko                        0       0      2        0         2      4
ireaneus                        0       0      2        2         0      4
hasantezcan                     0       0      2        0         2      4
DarylPinto                      0       0      2        0         2      4
tkolleh                         0       0      2        0         2      4
redrambles                      0       0      2        0         2      4
FloLangenfeld                   0       0      2        0         2      4
fdelbrayelle                    0       0      2        1         1      4
gikeymarcia                     0       0      2        0         2      4
b3nj5m1n                        0       0      2        0         2      4
matt-watson90                   0       0      2        0         2      4
Bailey-1                        0       0      2        0         2      4
zkosanovic                      0       0      2        1         1      4
SimplyDanny                     0       0      2        0         2      4
rahmanuh                        0       0      2        0         2      4
giorgiovilardo                  0       0      2        0         2      4
zero-MK                         0       0      2        2         0      4
elemosjr                        0       0      2        0         2      4
HarrisonMc555                   0       0      2        0         2      4
alison-li                       0       0      2        1         1      4
NickSmyr                        0       0      2        0         2      4
sucrecacao                      0       0      2        1         1      4
lemieszek                       0       0      2        0         2      4
R0w4nS                          0       0      2        0         2      4
JamieMagee                      0       0      2        0         2      4
staceybellerose                 0       0      2        0         2      4
qvissak                         0       0      2        0         2      4
psacawa                         0       0      2        0         2      4
funwaa                          0       0      2        0         2      4
unknown1924                     0       0      2        1         1      4
Deuchnord                       0       0      2        0         2      4
Saul-BT                         0       0      2        0         2      4
D34DPlayer                      0       0      2        0         2      4
Athi223                         0       0      2        1         1      4
dancek                          0       0      2        0         2      4
mcarabajo                       0       0      2        0         2      4
williangl                       0       0      2        1         1      4
m-schwarzinger                  0       0      2        1         1      4
arnaudvalle                     0       0      2        0         2      4
vfrico                          0       0      2        0         2      4
ahonarmand                      0       0      2        0         2      4
neslinesli93                    0       0      2        0         2      4
subzey                          0       0      2        0         2      4
franciscollanquipichun          0       0      2        0         2      4
newAM                           0       0      2        0         2      4
zhouLion                        0       0      2        1         1      4
ur5us                           0       0      2        0         2      4
alexroseb                       0       0      2        0         2      4
barbaraaliverti                 0       0      2        0         2      4
Cxarli                          0       0      2        0         2      4
rhapsodyn                       0       0      2        0         2      4
nikisix                         0       0      2        1         1      4
diegobfernandez                 0       0      2        0         2      4
roxchgt                         0       0      2        1         1      4
sgued                           0       0      2        1         1      4
ruru4143                        0       0      2        0         2      4
mattrighetti                    0       0      2        0         2      4
joshuatcasey                    0       0      2        0         2      4
GETandSELECT                    0       0      2        0         2      4
somefoo                         0       0      2        0         2      4
kantuni                         0       0      2        0         2      4
techno-disaster                 0       0      2        0         2      4
TGIFelix                        0       0      2        1         1      4
stanulilic                      0       0      2        1         1      4
agstrc                          0       0      2        0         2      4
evaleries                       0       0      2        0         2      4
1deadpixl                       0       0      2        0         2      4
noarchwastaken                  0       0      2        0         2      4
interrato                       0       0      2        1         1      4
vappolinario                    0       0      2        0         2      4
sayanarijit                     0       0      2        0         2      4
Holomech                        0       0      2        0         2      4
tremby                          0       0      2        0         2      4
usadson                         0       0      2        1         1      4
tomek-szczesny                  0       0      2        0         2      4
anakimluke                      0       0      2        0         2      4
mobidyc                         0       0      2        2         0      4
Fake4d                          0       0      2        1         1      4
miki725                         0       0      2        0         2      4
John-Toohey                     0       0      2        0         2      4
NealSCarffery                   0       0      2        1         1      4
NicoWeio                        0       0      2        0         2      4
DaxGoon                         0       0      2        0         2      4
nobiit                          0       0      2        0         2      4
invakid404                      0       0      2        0         2      4
SignorMercurio                  0       0      2        0         2      4
sooohka                         0       0      2        0         2      4
RedHeadphone                    0       0      2        0         2      4
ansavanix                       0       0      2        0         2      4
