Repo   : tldr-pages/tldr
Período: histórico completo
Commits descargados: 23361

=== POR PRODUCTO ===
ANMCC (Avg Modified Components per Commit): 5.14

=== POR PERSONA ===
Colaborador                    ANMCC
----------------------------------------
trolzen                        3.08
kauanmodolo                    3.0
klazhiki                       3.0
ceykiii                        3.0
Malikazz                       3.0
AntoineKoiko                   3.0
AloisSeckar                    3.0
rafdandis                      3.0
openbit-j                      3.0
sebschil                       3.0
JanviNandre                    3.0
0x61nas                        3.0
crixodia                       3.0
triluch                        3.0
schorfma                       3.0
yorukot                        3.0
bradleyJT-CS                   3.0
damymetzke                     3.0
Laaarge                        3.0
idorax                         3.0
victorhtl                      3.0
martinhoyer                    3.0
SimonVerhoeven                 3.0
TrisSherliker                  3.0
pranavmangal                   3.0
LolSayna                       3.0
kabir1439                      3.0
JohaFreu                       3.0
vitalmotif                     3.0
standstaff                     3.0
leandrovillari                 3.0
nostprumprajee                 3.0
tuterdust                      3.0
amino47                        3.0
OctavioFurio                   3.0
i-penr                         3.0
derNiklaas                     3.0
sashashura                     3.0
git-em                         3.0
genivia-inc                    3.0
Stijn-Bch                      3.0
jjshanks                       3.0
jim4067                        3.0
Manan-Rathi                    3.0
gkah                           3.0
JaiJoshi123                    3.0
LucaLumetti                    3.0
gikeymarcia                    3.0
gapan                          3.0
1-byte-man                     3.0
nicomt                         3.0
Jack12816                      3.0
dubek                          3.0
GermanS                        3.0
RafRaf                         3.0
ryangreenberg                  3.0
Mitch Lacy                     3.0
debugger24                     3.0
raamana                        3.0
AMATEURTOSS                    2.88
goznalo-git                    2.83
evan-william                   2.75
MIfoodie                       2.75
Hahaha                         2.75
Emily Grace Seville            2.74
kxy                            2.71
notpeter                       2.7
Hoi15A                         2.69
bittner                        2.67
siddiq0611                     2.67
Bodyhealer                     2.67
mxmxyz                         2.67
aydwi                          2.67
gugacavalieri                  2.62
ocean-sudo                     2.6
dukecat0                       2.6
WilliamAboucaya                2.6
Lingshinx                      2.6
qontinuum-dev                  2.6
AgamAgarwal                    2.58
ivanbaluta                     2.52
martinsonogu                   2.5
KristopherLeads                2.5
Deuchnord                      2.5
stheoulle                      2.5
copolycube                     2.5
rrotter                        2.5
vimlinuz                       2.5
cobac                          2.5
