Archivos a analizar: 35766

=== POR PRODUCTO ===
CD (Comment Density): 0.0005  (ref. NASA optimo ~0.15)
  Total CLOC : 183
  Total LLOC : 337412
  Archivos   : 35766

=== POR PERSONA ===
Colaborador                           CLOC     LLOC       CD
ivanhercaz                               0        9      0.0
Cristian Bastidas                        0      161      0.0
Erlan Rangel                             0      221      0.0
Luis Antonio Argüelles González          0       36      0.0
James C Craven                           0       67      0.0
Marcos Aparicio                          0       19      0.0
Zarif León                               0       11      0.0
LSigala                                  0       11      0.0
Guido                                    0      152      0.0
Kauan Modolo                             0       57      0.0
dr3ySanox                                0       26      0.0
Stig124                                  0       54      0.0
David Ansart                             0        9      0.0
Enrique Matías Sánchez                   0        5      0.0
Starsoon                                 0     1491      0.0
Jeremy Aza                               0       20      0.0
FlowareR-E                               0       29      0.0
Andres Espin                             0       36      0.0
Tadeo                                    0      142      0.0
Syafa Adena                              0       13      0.0
Moch. Bima Pangestu                      0       62      0.0
Haydar                                   0      138      0.0
Adinda Praditya                          0       27      0.0
陈文悠                                      0       80      0.0
Muhammad Willdhan Arya Putra             0      637      0.0
Azrael JD                                0       51      0.0
Muhammad Hanif Amrullah                  0       18      0.0
Mohammad Reza Soleimani                  0      201      0.0
Amir H. Moayeri                          0       11      0.0
mortalpuppet                             0       13      0.0
Joe Nichols                              0       15      0.0
Pouya Karazmayan                         0       66      0.0
Rohith ND                                0       54      0.0
Tan Siret A                              0      547      0.0
umutKaracelebi                           0       72      0.0
Kaan AYDIN                               0       16      0.0
Cem AÇAR                                 0       62      0.0
Ahsen Zühal Göl                          0       19      0.0
lexion                                   0      107      0.0
axrona                                   0      219      0.0
Afra                                     0       36      0.0
Yrsa97                                   0        5      0.0
Molntussen                               0       29      0.0
Andréia Bohner                           0       64      0.0
Rafael Fontenelle                        0      350      0.0
Andreia Bohner                           0       22      0.0
Rafael Gordon Paves                      0       71      0.0
Gabriel Paiva de Almeida                 0       41      0.0
Lucas Munhoz                             0       14      0.0
