Archivos de documentación encontrados: 35741
Construyendo mapa de autores con git log...
Mapa de autores construido: 42240 archivos

=== POR PRODUCTO ===
DLOC (Documentation Lines of Code): 334585 lineas
  Archivos analizados: 35741

=== POR PERSONA ===
Colaborador                                  DLOC
sighrelief                                     30
Abhishek                                       30
FlowareR-E                                     29
Molntussen                                     29
Joshua Shanks                                  29
Aiglelevant                                    28
John Toohey                                    28
Triad                                          28
Cool Guy                                       28
Patrizio Bekerle                               28
Pradeep Tarakar                                28
Pranav Mangal                                  28
Adinda Praditya                                27
roundedrectangle                               27
Marco Omainska                                 26
Hermann AGOSSOU                                26
dr3ySanox                                      26
Poy Chang                                      26
Aidan Coyle                                    26
LIPIKA KANKARIA                                26
Margu                                          25
Jennifer Falco                                 25
SamyOffer                                      25
Sarah Haïm-Lubczanski                          25
locnide                                        24
Felipe Furquim                                 24
DawidStruzik                                   24
Ahamed_Meyan                                   24
Jakub Wlodek                                   24
lloyd-dada                                     24
RAJ RAUT                                       23
0x61nas                                        23
Alexei M                                       23
David Pape                                     22
Lena                                           22
Danila Vershinin                               22
Andreia Bohner                                 22
git-em                                         22
MubarakSec                                     21
Hadeer Ramadan                                 21
Marcel Brode                                   21
Suggon                                         21
Renner0E                                       21
Krish Rakesh Dave                              21
DustMerlin                                     21
Mohammad Salim                                 20
Dheenadayalan                                  20
dmakth                                         20
pji2918                                        20
Choi Young-jin                                 20
Jeremy Aza                                     20
Eric Cheng                                     20
Bartłomiej Tota                                20
aminelch                                       20
vitalmotif                                     20
Barry Weiss                                    20
qubixq                                         20
Christopher Finch                              20
Rover van der Noort                            20
Diyar Niyazov                                  20
CodeTo                                         20
Ecko                                           20
Sebastian                                      19
Mia Combeau                                    19
trouyer                                        19
Marcos Aparicio                                19
Ahsen Zühal Göl                                19
Daniel Mantovani                               19
Cleyton Macedo                                 19
Patryk Krawaczyński                            19
Leandro Villari                                19
Rudransh Shrivastava                           19
Huy Nguyen                                     19
Hahihula                                       19
Elijah Shackelford                             19
Ratheshan Sathiyamoorthy                       19
Farzad Zarasvand                               19
Waled Khatiz                                   19
oakrotka                                       19
roguehashrate                                  19
CreeperFace                                    19
Willard Washington Ford                        19
Francesco Lucarelli                            19
SeWook Oh                                      19
vatsal chaudhari                               19
Abhishek M J                                   19
patrick                                        19
aoqia194                                       19
Pranaov S                                      19
Paul Garaud                                    19
Zach                                           19
Vangeepuram Sreekesari                         19
Florian Wilhelm                                19
谢友添                                            19
aabs82                                         18
manojponnusamy2032-star                        18
Laykon4                                        18
Muhammad Hanif Amrullah                        18
Jorge Natalino Zenun                           18
Mohamed Taher Mosbah                           18
Nguyễn Huỳnh Anh Khoa                          18
Krzysztof Bociurko                             18
Harry Wu                                       18
Callum Rafter                                  18
Toxikuu                                        18
Pineapple                                      18
Esakki Sundaram                                18
3voltAmperes                                   17
Andreas Diesner                                17
Paul                                           17
Florian B.                                     17
